,L,alpha,beta,final_F,final_buffer,final_n_inputs_attempted,final_n_inputs_needed,init_F,init_buffer,init_n_inputs_attempted,init_n_inputs_needed,max_F,mean_F,min_F,n_agents,n_steps,r,std_F,xi
18,1,0.15,0.4,0.841,1,3,2,0.7,1,2,1,0.8740000000000001,0.843344145,0.6970000000000001,1000,200000,1,0.01607504616537617,0
19,1,0.15,0.4,0.9,1,4,3,0.7,1,2,1,0.937,0.81827303,0.271,1000,200000,2000,0.1393989206006241,1
20,1,0.15,0.4,0.858,1,3,2,0.7,1,2,1,0.8740000000000001,0.8420430400000001,0.701,1000,200000,1,0.01978289482250765,0
21,1,0.15,0.4,0.882,1,4,3,0.7,1,2,1,0.932,0.8110514850000001,0.245,1000,200000,2000,0.1464619941633145,1
22,1,0.15,0.4,0.835,1,3,2,0.7,1,2,1,0.877,0.8428986749999999,0.6990000000000001,1000,200000,1,0.016636715969336458,0
23,1,0.15,0.4,0.909,1,4,3,0.7,1,2,1,0.931,0.771429425,0.214,1000,200000,2000,0.1531082833460338,1
24,1,0.15,0.4,0.8370000000000001,1,3,2,0.7,1,2,1,0.879,0.8403615949999996,0.6990000000000001,1000,200000,1,0.02137993297594674,0
25,1,0.15,0.4,0.727,2,4,2,0.7,1,2,1,0.932,0.763201315,0.219,1000,200000,2000,0.15457391745463006,1
26,1,0.15,0.4,0.856,1,3,2,0.7,1,2,1,0.8759999999999999,0.843271325,0.7,1000,200000,1,0.016846828417965646,0
27,1,0.15,0.4,0.908,1,4,3,0.7,1,2,1,0.93,0.8342378499999998,0.237,1000,200000,2000,0.1358524485512775,1
28,1,0.15,0.4,0.852,1,3,2,0.7,1,2,1,0.879,0.8436096100000001,0.7,1000,200000,1,0.016376979442128514,0
29,1,0.15,0.4,0.7390000000000001,1,3,2,0.7,1,2,1,0.941,0.7933410500000002,0.242,1000,200000,2000,0.16171013819454086,1
30,1,0.15,0.4,0.855,1,3,2,0.7,1,2,1,0.878,0.8439435099999999,0.701,1000,200000,1,0.01517393320401471,0
31,1,0.15,0.4,0.8640000000000001,1,4,3,0.7,1,2,1,0.933,0.7923442500000002,0.232,1000,200000,2000,0.15247611452925178,1
32,1,0.15,0.4,0.856,1,3,2,0.7,1,2,1,0.884,0.84527171,0.701,1000,200000,1,0.020070411148651143,0
33,1,0.15,0.4,0.887,1,4,3,0.7,1,2,1,0.927,0.794546725,0.229,1000,200000,2000,0.15431833295747585,1
34,1,0.15,0.4,0.852,1,3,2,0.7,1,2,1,0.873,0.8429780250000001,0.698,1000,200000,1,0.016923532790152743,0
35,1,0.15,0.4,0.912,1,4,3,0.7,1,2,1,0.931,0.8184021300000001,0.287,1000,200000,2000,0.1513961153446914,1
36,1,0.15,0.4,0.857,1,3,2,0.7,1,2,1,0.877,0.8440107200000003,0.6970000000000001,1000,200000,1,0.01953355715382122,0
37,1,0.15,0.4,0.903,1,4,3,0.7,1,2,1,0.928,0.7835050899999999,0.239,1000,200000,2000,0.15926109877836425,1
38,1,0.15,0.4,0.8540000000000001,1,3,2,0.7,1,2,1,0.878,0.8453108799999999,0.7,1000,200000,1,0.015169211371248012,0
39,1,0.15,0.4,0.7140000000000001,2,4,2,0.7,1,2,1,0.93,0.78603258,0.215,1000,200000,2000,0.1631428094601279,1
40,1,0.15,0.4,0.852,1,3,2,0.7,1,2,1,0.883,0.8429073650000002,0.701,1000,200000,1,0.01705539427151348,0
41,1,0.15,0.4,0.35600000000000004,1,2,1,0.7,1,2,1,0.931,0.7886604949999999,0.244,1000,200000,2000,0.15634662817392314,1
42,1,0.15,0.4,0.858,1,4,3,0.7,1,2,1,0.8759999999999999,0.8402361650000001,0.7,1000,200000,1,0.0179429214759686,0
43,1,0.15,0.4,0.904,1,4,3,0.7,1,2,1,0.935,0.829867365,0.257,1000,200000,2000,0.1314946878887386,1
44,1,0.15,0.4,0.857,1,3,2,0.7,1,2,1,0.873,0.8365941250000001,0.7,1000,200000,1,0.025019815156878643,0
45,1,0.15,0.4,0.458,1,2,1,0.7,1,2,1,0.929,0.79597177,0.248,1000,200000,2000,0.14962211465243733,1
46,1,0.15,0.4,0.853,1,3,2,0.7,1,2,1,0.885,0.8447175199999999,0.701,1000,200000,1,0.015762026045201168,0
47,1,0.15,0.4,0.909,1,4,3,0.7,1,2,1,0.932,0.7915829349999999,0.271,1000,200000,2000,0.14824895204279112,1
48,1,0.15,0.4,0.853,1,3,2,0.7,1,2,1,0.879,0.8457240549999999,0.7,1000,200000,1,0.01705463805998166,0
49,1,0.15,0.4,0.649,1,2,1,0.7,1,2,1,0.933,0.796518835,0.225,1000,200000,2000,0.15023481964991595,1
50,1,0.15,0.4,0.85,1,3,2,0.7,1,2,1,0.8809999999999999,0.842765505,0.7,1000,200000,1,0.016412270016514317,0
51,1,0.15,0.4,0.88,1,4,3,0.7,1,2,1,0.932,0.807365125,0.251,1000,200000,2000,0.1503145592706654,1
52,1,0.15,0.4,0.84,1,3,2,0.7,1,2,1,0.877,0.8448274949999999,0.6990000000000001,1000,200000,1,0.018542377329376487,0
53,1,0.15,0.4,0.605,1,2,1,0.7,1,2,1,0.932,0.790218865,0.24,1000,200000,2000,0.1686871495197894,1
54,1,0.15,0.4,0.861,1,4,3,0.7,1,2,1,0.878,0.8423940400000001,0.6990000000000001,1000,200000,1,0.018825361948137945,0
55,1,0.15,0.4,0.866,1,4,3,0.7,1,2,1,0.935,0.8072012150000001,0.225,1000,200000,2000,0.1496550124704274,1
56,1,0.15,0.4,0.853,1,3,2,0.7,1,2,1,0.8809999999999999,0.8440360800000001,0.7,1000,200000,1,0.02090972735914077,0
57,1,0.15,0.4,0.901,1,4,3,0.7,1,2,1,0.933,0.80948907,0.266,1000,200000,2000,0.13569642766313011,1
58,1,0.15,0.4,0.8590000000000001,1,4,3,0.7,1,2,1,0.878,0.8430463050000001,0.6970000000000001,1000,200000,1,0.015966714779408288,0
59,1,0.15,0.4,0.8959999999999999,1,4,3,0.7,1,2,1,0.938,0.794146125,0.193,1000,200000,2000,0.14381399432073494,1
60,1,0.15,0.4,0.856,1,3,2,0.7,1,2,1,0.877,0.8429303800000002,0.698,1000,200000,1,0.01832647928696617,0
61,1,0.15,0.4,0.894,1,4,3,0.7,1,2,1,0.933,0.8099433100000002,0.247,1000,200000,2000,0.14879626022264106,1
62,1,0.15,0.4,0.84,1,3,2,0.7,1,2,1,0.875,0.8441140049999999,0.7,1000,200000,1,0.01792524526638269,0
